date,price
2018-07-09,16.799999
2018-07-10,19
2018-07-11,19
2018-07-12,19.26
2018-07-13,21.450001
2018-07-16,21.049999
2018-07-17,20.9
2018-07-18,21.549999
2018-07-19,20.1
2018-07-20,19.879999
2018-07-23,19.02
2018-07-24,18.24
2018-07-25,18.58
2018-07-26,18.299999
2018-07-27,19.040001
2018-07-30,18.68
2018-07-31,17.6
2018-08-01,17.860001
2018-08-02,17.26
2018-08-03,17
2018-08-06,17.219999
2018-08-07,17.42
2018-08-08,17.139999
2018-08-09,18.08
2018-08-10,18.16
2018-08-13,17.440001
2018-08-14,17.16
2018-08-15,16.299999
2018-08-16,16.24
2018-08-17,16.360001
2018-08-20,16.459999
2018-08-21,17.4
2018-08-22,17.68
2018-08-23,17.440001
2018-08-24,17.040001
2018-08-27,17.32
2018-08-28,17.120001
2018-08-29,17.139999
2018-08-30,17.139999
2018-08-31,16.799999
2018-09-03,16.5
2018-09-04,16.74
2018-09-05,16.559999
2018-09-06,16.459999
2018-09-07,16.5
2018-09-10,16.040001
2018-09-11,16.120001
2018-09-12,15.66
2018-09-13,16.4
2018-09-14,16.68
2018-09-17,16.42
2018-09-18,16.280001
2018-09-19,16.559999
2018-09-20,16.48
2018-09-21,16.76
2018-09-24,16.5
2018-09-26,16.360001
2018-09-27,15.96
2018-09-28,15.5
2018-10-02,15
2018-10-03,14.88
2018-10-04,14.5
2018-10-05,14.28
2018-10-08,13.58
2018-10-09,13.58
2018-10-10,13.76
2018-10-11,12.66
2018-10-12,13.06
2018-10-15,12.48
2018-10-16,12.3
2018-10-18,12.34
2018-10-19,12.28
2018-10-22,12.98
2018-10-23,12.32
2018-10-24,12.26
2018-10-25,12.68
2018-10-26,12.28
2018-10-29,12.02
2018-10-30,11.66
2018-10-31,12.18
2018-11-01,12.34
2018-11-02,13.48
2018-11-05,13.08
2018-11-06,13.24
2018-11-07,13.3
2018-11-08,13.72
2018-11-09,13.2
2018-11-12,13.14
2018-11-13,13.3
2018-11-14,13.16
2018-11-15,13.06
2018-11-16,12.94
2018-11-19,13.6
2018-11-20,14.74
2018-11-21,14.84
2018-11-22,14.32
2018-11-23,14.44
2018-11-26,14.3
2018-11-27,13.82
2018-11-28,14.5
2018-11-29,14.2
2018-11-30,14.28
2018-12-03,14.86
2018-12-04,14.64
2018-12-05,14.3
2018-12-06,14
2018-12-07,13.64
2018-12-10,13.28
2018-12-11,13.38
2018-12-12,13.52
2018-12-13,13.76
2018-12-14,13.54
2018-12-17,13.52
2018-12-18,13.26
2018-12-19,13.26
2018-12-20,13.08
2018-12-21,13.68
2018-12-24,13.16
2018-12-27,12.92
2018-12-28,12.94
2018-12-31,12.92
2019-01-02,12.2
2019-01-03,11.76
2019-01-04,11.96
2019-01-07,12
2019-01-08,11.1
2019-01-09,10.34
2019-01-10,9.97
2019-01-11,10.34
2019-01-14,10.02
2019-01-15,9.96
2019-01-16,9.7
2019-01-17,9.74
2019-01-18,10.16
2019-01-21,10.3
2019-01-22,10
2019-01-23,9.97
2019-01-24,10
2019-01-25,10.1
2019-01-28,10.02
2019-01-29,9.91
2019-01-30,9.84
2019-01-31,9.84
2019-02-01,10.44
2019-02-04,10.36
2019-02-08,10.26
2019-02-11,10.7
2019-02-12,10.6
2019-02-13,11.38
2019-02-14,11.52
2019-02-15,11.14
2019-02-18,11.22
2019-02-19,10.8
2019-02-20,10.84
2019-02-21,11.38
2019-02-22,11.92
2019-02-25,12.24
2019-02-26,12.2
2019-02-27,12.14
2019-02-28,11.96
2019-03-01,11.88
2019-03-04,11.96
2019-03-05,12.5
2019-03-06,12.36
2019-03-07,12.04
2019-03-08,11.74
2019-03-11,11.9
2019-03-12,12.2
2019-03-13,11.96
2019-03-14,11.64
2019-03-15,11.58
2019-03-18,11.9
2019-03-19,12.2
2019-03-20,11.64
2019-03-21,11.28
2019-03-22,11.28
2019-03-25,10.9
2019-03-26,11.1
2019-03-27,11.3
2019-03-28,11.18
2019-03-29,11.38
2019-04-01,11.36
2019-04-02,11.24
2019-04-03,11.92
2019-04-04,11.84
2019-04-08,11.76
2019-04-09,11.72
2019-04-10,11.84
2019-04-11,11.54
2019-04-12,11.62
2019-04-15,11.64
2019-04-16,11.76
2019-04-17,11.82
2019-04-18,11.7
2019-04-23,12.2
2019-04-24,12.36
2019-04-25,11.98
2019-04-26,12.02
2019-04-29,11.98
2019-04-30,12.02
2019-05-02,11.62
2019-05-03,11.8
2019-05-06,11
2019-05-07,10.84
2019-05-08,10.58
2019-05-09,10.46
2019-05-10,10.64
2019-05-14,10.12
2019-05-15,10.48
2019-05-16,10.3
2019-05-17,10.16
2019-05-20,9.89
2019-05-21,9.87
2019-05-22,10.1
2019-05-23,9.8
2019-05-24,9.77
2019-05-27,9.66
2019-05-28,9.95
2019-05-29,9.92
2019-05-30,9.74
2019-05-31,9.58
2019-06-03,9.09
2019-06-04,9.02
2019-06-05,9.22
2019-06-06,9.21
2019-06-10,9.53
2019-06-11,9.75
2019-06-12,9.54
2019-06-13,9.66
2019-06-14,9.55
2019-06-17,9.58
2019-06-18,9.59
2019-06-19,9.8
2019-06-20,9.93
2019-06-21,9.8
2019-06-24,9.95
2019-06-25,9.77
2019-06-26,9.8
2019-06-27,10
2019-06-28,10
2019-07-02,9.99
2019-07-03,9.76
2019-07-04,9.78
2019-07-05,9.95
2019-07-08,9.61
2019-07-09,9.5
2019-07-10,9.59
2019-07-11,9.49
2019-07-12,9.44
2019-07-15,9.36
2019-07-16,9.3
2019-07-17,9.11
2019-07-18,9
2019-07-19,9.11
2019-07-22,8.95
2019-07-23,9.07
2019-07-24,9.1
2019-07-25,9.22
2019-07-26,9.12
2019-07-29,9.07
2019-07-30,9.02
2019-07-31,9.05
2019-08-01,9.02
2019-08-02,8.8
2019-08-05,8.92
2019-08-06,8.66
2019-08-07,8.65
2019-08-08,8.91
2019-08-09,8.94
2019-08-12,8.95
2019-08-13,8.82
2019-08-14,9
2019-08-15,8.81
2019-08-16,8.92
2019-08-19,9.14
2019-08-20,9.43
2019-08-21,8.96
2019-08-22,8.87
2019-08-23,8.96
2019-08-26,8.7
2019-08-27,8.79
2019-08-28,8.82
2019-08-29,8.53
2019-08-30,8.53
2019-09-02,8.35
2019-09-03,8.7
2019-09-04,8.65
2019-09-05,8.94
2019-09-06,9.08
2019-09-09,9.13
2019-09-10,9.22
2019-09-11,9.27
2019-09-12,9.4
2019-09-13,9.48
2019-09-16,9.34
2019-09-17,9.07
2019-09-18,9.15
2019-09-19,9.14
2019-09-20,9.25
2019-09-23,9.32
2019-09-24,9.32
2019-09-25,8.91
2019-09-26,8.89
2019-09-27,8.7
2019-09-30,8.8
2019-10-02,8.75
2019-10-03,8.9
2019-10-04,8.95
2019-10-08,8.79
2019-10-09,8.67
2019-10-10,8.8
2019-10-11,8.88
2019-10-14,8.93
2019-10-15,8.82
2019-10-16,8.64
2019-10-17,8.64
2019-10-18,8.55
2019-10-21,8.98
2019-10-22,8.85
2019-10-23,8.99
2019-10-24,9.04
2019-10-25,9.06
2019-10-28,9.19
2019-10-29,8.86
2019-10-30,8.79
2019-10-31,8.9
2019-11-01,8.96
2019-11-04,9.03
2019-11-05,9.03
2019-11-06,8.94
2019-11-07,8.93
2019-11-08,8.84
2019-11-11,8.54
2019-11-12,8.69
2019-11-13,8.55
2019-11-14,8.48
2019-11-15,8.51
2019-11-18,8.47
2019-11-19,8.56
2019-11-20,8.55
2019-11-21,8.4
2019-11-22,8.39
2019-11-25,8.6
2019-11-26,8.62
2019-11-27,8.73
2019-11-28,8.89
2019-11-29,8.95
2019-12-02,8.93
2019-12-03,9.01
2019-12-04,9
2019-12-05,9.07
2019-12-06,9.34
2019-12-09,9.32
2019-12-10,9.21
2019-12-11,9.99
2019-12-12,9.93
2019-12-13,10.4
2019-12-16,10.52
2019-12-17,10.68
2019-12-18,10.5
2019-12-19,10.36
2019-12-20,10.34
2019-12-23,10.24
2019-12-24,10.56
2019-12-27,10.8
2019-12-30,10.64
2019-12-31,10.78
2020-01-02,11.22
2020-01-03,10.9
2020-01-06,10.98
2020-01-07,11
2020-01-08,11.08
2020-01-09,11.5
2020-01-10,11.42
2020-01-13,11.9
2020-01-14,11.68
2020-01-15,12.26
2020-01-16,12.22
2020-01-17,13.24
2020-01-20,13.3
2020-01-21,12.76
2020-01-22,13.9
2020-01-23,13.28
2020-01-24,13.34
2020-01-29,12.6
2020-01-30,11.76
2020-01-31,11.52
2020-02-03,12.02
2020-02-04,12.54
2020-02-05,12.64
2020-02-06,12.82
2020-02-07,12.84
2020-02-10,12.96
2020-02-11,12.78
2020-02-12,12.92
2020-02-13,13.38
2020-02-14,13.1
2020-02-17,13.28
2020-02-18,12.82
2020-02-19,12.88
2020-02-20,12.9
2020-02-21,12.72
2020-02-24,12.32
2020-02-25,12.64
2020-02-26,12.46
2020-02-27,12.9
2020-02-28,12.56
