date,price
6/18/2012,18.333998
6/19/2012,18.668058
6/20/2012,19.896221
6/21/2012,19.630938
6/22/2012,19.178974
6/25/2012,18.884214
6/26/2012,17.803434
6/27/2012,18.432253
6/28/2012,18.255398
6/29/2012,18.825264
7/3/2012,18.609108
7/4/2012,18.668058
7/5/2012,18.569805
7/6/2012,19.061071
7/9/2012,18.491203
7/10/2012,18.589458
7/11/2012,19.139673
7/12/2012,18.668058
7/13/2012,18.589458
7/16/2012,18.884214
7/17/2012,18.687712
7/18/2012,18.275049
7/19/2012,18.923517
7/20/2012,18.943169
7/23/2012,18.353649
7/24/2012,18.294699
7/25/2012,17.724833
7/26/2012,17.233566
7/27/2012,17.882036
7/30/2012,18.609108
7/31/2012,18.373302
8/1/2012,18.707361
8/2/2012,18.648407
8/3/2012,18.668058
8/6/2012,18.962818
8/7/2012,19.296877
8/8/2012,19.630938
8/9/2012,19.896221
8/10/2012,19.611286
8/13/2012,19.552334
8/14/2012,19.748842
8/15/2012,20.190979
8/16/2012,21.075256
8/17/2012,21.910406
8/20/2012,22.106913
8/21/2012,22.499922
8/22/2012,21.86128
8/23/2012,22.106913
8/24/2012,22.106913
8/27/2012,21.370016
8/28/2012,21.517393
8/29/2012,22.254292
8/30/2012,21.910406
8/31/2012,21.664772
9/3/2012,21.7139
9/4/2012,21.910406
9/5/2012,21.419142
9/6/2012,20.33836
9/7/2012,21.419142
9/10/2012,22.254292
9/11/2012,22.745556
9/12/2012,22.745556
9/13/2012,23.433329
9/14/2012,24.514109
9/17/2012,24.317604
9/18/2012,25.005375
9/19/2012,24.857994
9/20/2012,24.415857
9/21/2012,24.415857
9/24/2012,24.415857
9/25/2012,24.464983
9/26/2012,24.219351
9/27/2012,24.415857
9/28/2012,25.545765
10/3/2012,25.545765
10/4/2012,24.661489
10/5/2012,25.251007
10/8/2012,24.710615
10/9/2012,24.563234
10/10/2012,24.956247
10/11/2012,24.317604
10/12/2012,24.563234
10/15/2012,24.022846
10/16/2012,24.268478
10/17/2012,24.464983
10/18/2012,24.563234
10/19/2012,24.121098
10/22/2012,24.219351
10/24/2012,24.61236
10/25/2012,25.496639
10/26/2012,26.331789
10/29/2012,26.773926
10/30/2012,26.430042
10/31/2012,26.18441
11/1/2012,26.528294
11/2/2012,28.542479
11/5/2012,28.296848
11/6/2012,28.149467
11/7/2012,28.100342
11/8/2012,26.872181
11/9/2012,26.7248
11/12/2012,27.216066
11/13/2012,26.970434
11/14/2012,27.412571
11/15/2012,27.117813
11/16/2012,26.773926
11/19/2012,27.068686
11/20/2012,27.068686
11/21/2012,27.609077
11/22/2012,28.345976
11/23/2012,28.247723
11/26/2012,28.493353
11/27/2012,29.181126
11/28/2012,29.230251
11/29/2012,29.230251
11/30/2012,29.033745
12/3/2012,28.345976
12/4/2012,27.068686
12/5/2012,27.117813
12/6/2012,27.756456
12/7/2012,27.707331
12/10/2012,28.002089
12/11/2012,27.658203
12/12/2012,28.493353
12/13/2012,28.493353
12/14/2012,28.984619
12/17/2012,28.788111
12/18/2012,28.935492
12/19/2012,29.230251
12/20/2012,30.409288
12/21/2012,29.770641
12/24/2012,null
12/27/2012,29.279377
12/28/2012,30.016273
12/31/2012,null
1/2/2013,30.75317
1/3/2013,30.605791
1/4/2013,31.244436
1/7/2013,31.686573
1/8/2013,32.226967
1/9/2013,32.767353
1/10/2013,32.226967
1/11/2013,31.490068
1/14/2013,31.490068
1/15/2013,31.588322
1/16/2013,31.588322
1/17/2013,31.932205
1/18/2013,33.012985
1/21/2013,33.70076
1/22/2013,33.897266
1/23/2013,33.848141
1/24/2013,34.044643
1/25/2013,33.799015
1/28/2013,33.258621
1/29/2013,33.70076
1/30/2013,34.339405
1/31/2013,34.339405
2/1/2013,34.486782
2/4/2013,34.486782
2/5/2013,34.290279
2/6/2013,32.423473
2/7/2013,31.735699
2/8/2013,32.963863
2/14/2013,33.946392
2/15/2013,34.142895
2/18/2013,34.241146
2/19/2013,32.57085
2/20/2013,32.276089
2/21/2013,31.588322
2/22/2013,31.539192
2/25/2013,31.932205
2/26/2013,31.539192
2/27/2013,31.539192
2/28/2013,31.981333
3/1/2013,31.981333
3/4/2013,31.04793
3/5/2013,30.261906
3/6/2013,30.900551
3/7/2013,29.967148
3/8/2013,30.851423
3/11/2013,30.704044
3/12/2013,30.605791
3/13/2013,30.605791
3/14/2013,30.507538
3/15/2013,30.360159
3/18/2013,29.770641
3/19/2013,31.146185
3/20/2013,31.637447
3/21/2013,32.374344
3/22/2013,31.784826
3/25/2013,32.718231
3/26/2013,32.472595
3/27/2013,32.226967
3/28/2013,31.833954
4/2/2013,31.833954
4/3/2013,31.784826
4/5/2013,30.261906
4/8/2013,29.918022
4/9/2013,31.097057
4/10/2013,31.637447
4/11/2013,31.735699
4/12/2013,31.440943
4/15/2013,30.802298
4/16/2013,30.75317
4/17/2013,30.704044
4/18/2013,30.458414
4/19/2013,30.605791
4/22/2013,31.293564
4/23/2013,31.34269
4/24/2013,32.325222
4/25/2013,33.307747
4/26/2013,33.651634
4/29/2013,34.339405
4/30/2013,34.142895
